No,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Ticket,구매지역,lastname,family#
456,1,3,"Stranden, Mr. Juho",male,31,0,0,STON/O 2. 3101288,7.925,,S,3101288,,Stranden,0
175,0,3,"Tomlin, Mr. Ernest Portage",male,30.5,0,0,364499,8.05,,S,364499,,Tomlin,0
302,0,3,"Mangan, Miss. Mary",female,30.5,0,0,364850,7.75,,Q,364850,,Mangan,0
301,0,3,"Ibrahim Shawah, Mr. Yousseff",male,30,0,0,2685,7.2292,,C,2685,,Ibrahim Shawah,0
89,0,3,"Attalah, Mr. Sleiman",male,30,0,0,2694,7.225,,C,2694,,Attalah,0
136,0,3,"Lobb, Mr. William Arthur",male,30,1,0,A/5. 3336,16.1,,S,3336,,Lobb,1
412,0,2,"Abelson, Mr. Samuel",male,30,1,0,P/PP 3381,24,,C,3381,,Abelson,1
140,0,3,"Adahl, Mr. Mauritz Nils Martin",male,30,0,0,C 7076,7.25,,S,7076,,Adahl,0
572,1,1,"Francatelli, Miss. Laura Mabel",female,30,0,0,PC 17485,56.9292,E36,C,17485,,Francatelli,0
461,1,1,"LeRoy, Miss. Bertha",female,30,0,0,PC 17761,106.425,,C,17761,,LeRoy,0
284,0,3,"Somerton, Mr. Francis William",male,30,0,0,A.5. 18509,8.05,,S,18509,,Somerton,0
314,0,2,"Matthews, Mr. William John",male,30,0,0,28228,13,,S,28228,,Matthews,0
680,1,2,"Renouf, Mrs. Peter Henry (Lillian Jefferys)",female,30,3,0,31027,21,,S,31027,,Renouf,3
702,1,1,"Cherry, Miss. Gladys",female,30,0,0,110152,86.5,B77,S,110152,,Cherry,0
594,1,1,"Serepeca, Miss. Augusta",female,30,0,0,113798,31,,C,113798,,Serepeca,0
668,1,2,"Slayter, Miss. Hilda Mary",female,30,0,0,234818,12.35,,Q,234818,,Slayter,0
202,0,2,"Givard, Mr. Hans Kristensen",male,30,0,0,250646,13,,S,250646,,Givard,0
449,1,2,"Sinkkonen, Miss. Anna",female,30,0,0,250648,13,,S,250648,,Sinkkonen,0
413,0,3,"Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)",female,30,1,1,345773,24.15,,S,345773,,Van Impe,2
709,1,3,"de Mulder, Mr. Theodore",male,30,0,0,345774,9.5,,S,345774,,de Mulder,0
598,1,3,"Dowdell, Miss. Elizabeth",female,30,0,0,364516,12.475,,S,364516,,Dowdell,0
92,0,3,"Corn, Mr. Harry",male,30,0,0,SOTON/OQ 392090,8.05,,S,392090,,Corn,0
248,0,2,"del Carlo, Mr. Sebastiano",male,29,1,0,SC/PARIS 2167,27.7208,,C,2167,,del Carlo,1
588,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29,1,0,2926,26,,S,2926,,Faunthorpe,1
385,0,3,"Braund, Mr. Lewis Richard",male,29,1,0,3460,7.0458,,S,3460,,Braund,1
95,0,3,"Larsson, Mr. August Viktor",male,29,0,0,7545,9.4833,,S,7545,,Larsson,0
252,0,2,"Turpin, Mr. William John Robert",male,29,1,0,11668,21,,S,11668,,Turpin,1
697,1,1,"Allen, Miss. Elisabeth Walton",female,29,0,0,24160,211.3375,B5,S,24160,,Allen,0
464,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,29,0,0,C.A. 29395,10.5,F33,S,29395,,Nye,0
228,0,1,"Long, Mr. Milton Clyde",male,29,0,0,113501,30,D6,S,113501,,Long,0
133,0,1,"Pears, Mr. Thomas Clinton",male,29,1,0,113776,66.6,C2,S,113776,,Pears,1
677,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29,1,0,228414,26,,S,228414,,Weisz,1
340,0,3,"Zimmerman, Mr. Leo",male,29,0,0,315082,7.875,,S,315082,,Zimmerman,0
51,0,3,"Christmann, Mr. Emil",male,29,0,0,343276,8.05,,S,343276,,Christmann,0
17,0,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29,1,한명,347054,10.4625,G6,S,347054,,Strom,1
377,0,3,"Larsson, Mr. Bengt Edvin",male,29,0,0,347067,7.775,,S,347067,,Larsson,0
603,1,3,"Jalsevac, Mr. Ivan",male,29,0,0,349240,7.8958,,C,349240,,Jalsevac,0
272,0,3,"Palsson, Mrs. Nils (Alma Cornelia Berglund)",female,29,0,4,349909,21.075,,S,349909,,Palsson,4
641,1,3,"Daly, Mr. Eugene Patrick",male,29,0,0,382651,7.75,,Q,382651,,Daly,0
132,0,3,"Ling, Mr. Lee",male,28,0,0,1601,56.4958,,S,1601,,Ling,0
471,1,2,"Clarke, Mrs. Charles V (Ada Maria Winfield)",female,28,1,0,2003,26,,S,2003,,Clarke,1
617,1,2,"Abelson, Mrs. Samuel (Hannah Wizosky)",female,28,1,0,P/PP 3381,24,,C,3381,,Abelson,1
47,0,3,"Olsen, Mr. Henry Margido",male,28,0,0,C 4001,22.525,,S,4001,,Olsen,0
299,0,1,"Meyer, Mr. Edgar Joseph",male,28,1,0,PC 17604,82.1708,,C,17604,,Meyer,1
431,0,1,"Carrau, Mr. Francisco M",male,28,0,0,113059,47.1,,S,113059,,Carrau,0
643,1,1,"Sloper, Mr. William Thompson",male,28,0,0,113788,35.5,A6,S,113788,,Sloper,0
262,0,2,"Norman, Mr. Robert Douglas",male,28,0,0,218629,13.5,,S,218629,,Norman,0
494,1,2,"Reynaldo, Ms. Encarnacion",female,28,0,0,230434,13,,S,230434,,Reynaldo,0
629,1,2,"Davis, Miss. Mary",female,28,0,0,237668,13,,S,237668,,Davis,0
553,1,2,"Trout, Mrs. William H (Jessie L)",female,28,0,0,240929,12.65,,S,240929,,Trout,0
384,0,2,"Harper, Rev. John",male,28,0,1,248727,33,,S,248727,,Harper,1
222,0,3,"Vande Walle, Mr. Nestor Cyriel",male,28,0,0,345770,9.5,,S,345770,,Vande Walle,0
316,0,3,"Vanden Steen, Mr. Leo Peter",male,28,0,0,345783,9.5,,S,345783,,Vanden Steen,0
83,0,3,"Mionoff, Mr. Stoytcho",male,28,0,0,349207,7.8958,,S,349207,,Mionoff,0
401,0,3,"Hendekovic, Mr. Ignjac",male,28,0,0,349243,7.8958,,S,349243,,Hendekovic,0
295,0,3,"Petranec, Miss. Matilda",female,28,0,0,349245,7.8958,,S,349245,,Petranec,0
436,0,3,"Carlsson, Mr. August Sigfrid",male,28,0,0,350042,7.7958,,S,350042,,Carlsson,0
193,0,3,"Gustafsson, Mr. Johan Birger",male,28,2,0,3101277,7.925,,S,3101277,,Gustafsson,2
182,0,3,"Hakkarainen, Mr. Pekka Pietari",male,28,1,0,STON/O2. 3101279,15.85,,S,3101279,,Hakkarainen,1
387,0,3,"Yasbeck, Mr. Antoni",male,27,1,0,2659,14.4542,,C,2659,,Yasbeck,1
416,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27,1,0,11668,21,,S,11668,,Turpin,1
712,1,2,"Troutt, Miss. Edwina Celia ""Winnie""",female,27,0,0,34218,10.5,E101,S,34218,,Troutt,0
26,0,1,"Widener, Mr. Harry Elkins",male,27,0,2,113503,211.5,C82,C,113503,,Widener,2
489,1,1,"Daniel, Mr. Robert Williams",male,27,0,0,113804,30.5,,S,113804,,Daniel,0
615,1,1,"Chambers, Mr. Norman Campbell",male,27,1,0,113806,53.1,E8,S,113806,,Chambers,1
9,0,2,"Montvila, Rev. Juozas",male,27,0,N,211536,13,,S,211536,,Montvila,0
158,0,2,"Bracken, Mr. James H",male,27,0,0,220367,13,,S,220367,,Bracken,0
123,0,2,"Sharp, Mr. Percival James R",male,27,0,0,244358,26,,S,244358,,Sharp,0
487,1,3,"Lulic, Mr. Nikola",male,27,0,0,315098,8.6625,,S,315098,,Lulic,0
625,1,3,"Hedman, Mr. Oskar Arvid",male,27,0,0,347089,6.975,,S,347089,,Hedman,0
481,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27,0,2,347742,11.1333,,S,347742,,Johnson,2
273,0,3,"Danoff, Mr. Yoto",male,27,0,0,349219,7.8958,,S,349219,,Danoff,0
638,1,3,"Moor, Mrs. (Beila)",female,27,0,1,392096,12.475,E121,S,392096,,Moor,1
556,1,3,"Honkanen, Miss. Eliina",female,27,0,0,STON/O2. 3101283,7.925,,S,3101283,,Honkanen,0
542,1,3,"Lang, Mr. Fang",male,26,0,0,1601,56.4958,,S,1601,,Lang,0
211,0,3,"Dean, Mr. Bertram Frank",male,26,1,2,C.A. 2315,20.575,,S,2315,,Dean,3
540,1,3,"Albimona, Mr. Nassef Cassem",male,26,0,0,2699,18.7875,,C,2699,,Albimona,0
435,0,3,"Lobb, Mrs. William Arthur (Cordelia K Stanlick)",female,26,1,0,A/5. 3336,16.1,,S,3336,,Lobb,1
396,0,3,"Alexander, Mr. William",male,26,0,0,3474,7.8875,,S,3474,,Alexander,0
651,1,1,"Barber, Miss. Ellen ""Nellie""",female,26,0,0,19877,78.85,,S,19877,,Barber,0
37,0,2,"Gavey, Mr. Lawrence",male,26,0,0,31028,10.5,,S,31028,,Gavey,0
466,1,1,"Behr, Mr. Karl Howell",male,26,0,0,111369,30,C148,C,111369,,Behr,0
369,0,2,"Lahtinen, Mrs. William (Anna Sylfven)",female,26,1,1,250651,26,,S,250651,,Lahtinen,2
291,0,3,"Kink, Mr. Vincenz",male,26,2,0,315151,8.6625,,S,315151,,Kink,2
189,0,3,"Adams, Mr. John",male,26,0,0,341826,8.05,,S,341826,,Adams,0
144,0,3,"Bengtsson, Mr. John Viktor",male,26,0,0,347068,7.775,,S,347068,,Bengtsson,0
230,0,3,"Bostandyeff, Mr. Guentcho",male,26,0,0,349224,7.8958,,S,349224,,Bostandyeff,0
229,0,3,"Balkic, Mr. Cerin",male,26,0,0,349248,7.8958,,S,349248,,Balkic,0
315,0,3,"Hansen, Mr. Henrik Juul",male,26,1,0,350025,7.8542,,S,350025,,Hansen,1
514,1,3,"Heikkinen, Miss. Laina",female,26,0,0,STON/O2. 3101282,7.925,,S,3101282,,Heikkinen,0
427,0,2,"Laroche, Mr. Joseph Philippe Lemercier",male,25,1,2,SC/Paris 2123,41.5792,,C,2123,,Laroche,3
221,0,3,"Saad, Mr. Khalil",male,25,0,0,2672,7.225,,C,2672,,Saad,0
699,1,1,"Harder, Mr. George Achilles",male,25,1,0,11765,55.4417,E50,C,11765,,Harder,1
508,1,1,"Bishop, Mr. Dickinson H",male,25,1,0,11967,91.0792,B49,C,11967,,Bishop,1
134,0,2,"Sobey, Mr. Samuel James Hayden",male,25,0,0,C.A. 29178,13,,S,29178,,Sobey,0
113,0,3,"Gallagher, Mr. Martin",male,25,0,0,36864,7.7417,,Q,36864,,Gallagher,0
268,0,1,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",female,25,1,2,113781,151.55,C22 C26,S,113781,,Allison,3
522,1,2,"Shelley, Mrs. William (Imanita Parrish Hall)",female,25,0,1,230433,26,,S,230433,,Shelley,1
399,0,2,"Butler, Mr. Reginald Fenton",male,25,0,0,234686,13,,S,234686,,Butler,0
178,0,2,"Bryhl, Mr. Kurt Arnold Gottfrid",male,25,1,0,236853,26,,S,236853,,Bryhl,1
450,1,2,"Christy, Miss. Julie Rachel",female,25,1,1,237789,30,,S,237789,,Christy,2
256,0,2,"Sedgwick, Mr. Charles Frederick Waddington",male,25,0,0,244361,13,,S,244361,,Sedgwick,0
371,0,3,"Lindahl, Miss. Agda Thorilda Viktoria",female,25,0,0,347071,7.775,,S,347071,,Lindahl,0
126,0,3,"Petterson, Mr. Johan Emil",male,25,1,0,347076,7.775,,S,347076,,Petterson,1
101,0,3,"Moen, Mr. Sigurd Hansen",male,25,0,0,348123,7.65,F G73,S,348123,,Moen,0
425,0,3,"Dantcheff, Mr. Ristiu",male,25,0,0,349203,7.8958,,S,349203,,Dantcheff,0
40,0,3,"Harmer, Mr. Abraham (David Lishin)",male,25,0,0,374887,7.25,,S,374887,,Harmer,0
264,0,3,"Sutehall, Mr. Henry Jr",male,25,0,0,SOTON/OQ 392076,7.05,,S,392076,,Sutehall,0
86,0,3,"Ilmakangas, Miss. Pieta Sofia",female,25,1,0,STON/O2. 3101271,7.925,,S,3101271,,Ilmakangas,1
10,0,3,"Ali, Mr. William",male,25,0,N,SOTON/O.Q. 3101312,7.05,,S,3101312,,Ali,0
518,1,3,"Tornquist, Mr. William Henry",male,25,0,0,LINE,0,,S,LINE,,Tornquist,0
587,1,3,"Baclini, Mrs. Solomon (Latifa Qurban)",female,24,0,3,2666,19.2583,,C,2666,,Baclini,3
586,1,3,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",female,24,0,2,PP 9549,16.7,G6,S,9549,,Sandstrom,2
607,1,1,"Hays, Miss. Margaret Bechstein",female,24,0,0,11767,83.1583,C54,C,11767,,Hays,0
690,1,3,"Madsen, Mr. Fridtjof Arne",male,24,0,0,C 17369,7.1417,,S,17369,,Madsen,0
531,1,1,"Aubart, Mme. Leontine Pauline",female,24,0,0,PC 17477,69.3,B35,C,17477,,Aubart,0
648,1,1,"Sagesser, Mlle. Emma",female,24,0,0,PC 17477,69.3,B35,C,17477,,Sagesser,0
65,0,1,"Baxter, Mr. Quigg Edmond",male,24,0,1,PC 17558,247.5208,B58 B60,C,17558,,Baxter,1
99,0,1,"Giglio, Mr. Victor",male,24,0,0,PC 17593,79.2,B86,C,17593,,Giglio,0
446,1,1,"Fortune, Miss. Alice Elizabeth",female,24,3,2,19950,263,C23 C25 C27,S,19950,,Fortune,5
501,1,2,"Richards, Mrs. Sidney (Emily Hocking)",female,24,2,3,29106,18.75,,S,29106,,Richards,5
327,0,2,"Leyson, Mr. Robert William Norman",male,24,0,0,C.A. 29566,10.5,,S,29566,,Leyson,0
652,1,2,"Herman, Miss. Alice",female,24,1,2,220845,65,,S,220845,,Herman,3
297,0,2,"Gill, Mr. John William",male,24,0,0,233866,13,,S,233866,,Gill,0
691,1,2,"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",female,24,2,1,243847,27,,S,243847,,Jacobsohn,3
693,1,2,"Kantor, Mrs. Sinai (Miriam Sternin)",female,24,1,0,244367,26,,S,244367,,Kantor,1
534,1,2,"Brown, Miss. Amelia ""Mildred""",female,24,0,0,248733,13,F33,S,248733,,Brown,0
173,0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24,0,0,248747,13,,S,248747,,Yrois,0
708,1,2,"Hamalainen, Mrs. William (Anna)",female,24,0,2,250649,14.5,,S,250649,,Hamalainen,2
318,0,3,"Coleff, Mr. Satio",male,24,0,0,349209,7.4958,,S,349209,,Coleff,0
168,0,3,"Mineff, Mr. Ivan",male,24,0,0,349233,7.8958,,S,349233,,Mineff,0
333,0,3,"Haas, Miss. Aloisia",female,24,0,0,349236,8.85,,S,349236,,Haas,0
23,0,3,"Svensson, Mr. Olof",male,24,0,0,350035,7.7958,,S,350035,,Svensson,0
410,0,3,"McNamee, Mr. Neal",male,24,1,0,376566,16.1,,S,376566,,McNamee,1
657,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24,1,0,STON/O2. 3101279,15.85,,S,3101279,,Hakkarainen,1
341,0,3,"Ali, Mr. Ahmed",male,24,0,0,SOTON/O.Q. 3101311,7.05,,S,3101311,,Ali,0
335,0,2,"Richard, Mr. Emile",male,23,0,0,SC/PARIS 2133,15.0458,,C,2133,,Richard,0
448,1,3,"Stanley, Miss. Amy Zillah Elsie",female,23,0,0,CA. 2314,7.55,,S,2314,,Stanley,0
558,1,1,"Fortune, Miss. Mabel Helen",female,23,3,2,19950,263,C23 C25 C27,S,19950,,Fortune,5
332,0,2,"Berriman, Mr. William John",male,23,0,0,28425,13,,S,28425,,Berriman,0
352,0,2,"Hocking, Mr. Richard George",male,23,2,1,29104,11.5,,S,29104,,Hocking,3
541,1,1,"Newell, Miss. Marjorie",female,23,1,0,35273,113.275,D36,C,35273,,Newell,1
266,0,2,"Troupiansky, Mr. Moses Aaron",male,23,0,0,233639,13,,S,233639,,Troupiansky,0
286,0,3,"Augustsson, Mr. Albert",male,23,0,0,347468,7.8542,,S,347468,,Augustsson,0
351,0,3,"Heininen, Miss. Wendla Maria",female,23,0,0,STON/O2. 3101290,7.925,,S,3101290,,Heininen,0
592,1,2,"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",female,22,1,2,SC/Paris 2123,41.5792,,C,2123,,Laroche,3
564,1,3,"Leeni, Mr. Fahim (""Philip Zenni"")",male,22,0,0,2620,7.225,,C,2620,,Leeni,0
198,0,3,"Berglund, Mr. Karl Ivar Sven",male,22,0,0,PP 4348,9.35,,S,4348,,Berglund,0
404,0,3,"Strandberg, Miss. Ida Sofia",female,22,0,0,7553,9.8375,,S,7553,,Strandberg,0
662,1,1,"Frolicher, Miss. Hedwig Margaritha",female,22,0,2,13568,49.5,B39,C,13568,,Frolicher,2
66,0,3,"Gilinski, Mr. Eliezer",male,22,0,0,14973,8.05,,S,14973,,Gilinski,0
71,0,3,"Perkin, Mr. John Henry",male,22,0,0,A/5 21174,7.25,,S,21174,,Perkin,0
661,1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22,1,0,113776,66.6,C2,S,113776,,Pears,1
694,1,1,"Cleaver, Miss. Alice",female,22,0,0,113781,151.55,,S,113781,,Cleaver,0
76,0,3,"Barton, Mr. David John",male,22,0,0,324669,8.05,,S,324669,,Barton,0
688,1,3,"Nysten, Miss. Anna Sofia",female,22,0,0,347081,7.75,,S,347081,,Nysten,0
575,1,3,"Ohman, Miss. Velin",female,22,0,0,347085,7.775,,S,347085,,Ohman,0
325,0,3,"Vovk, Mr. Janko",male,22,0,0,349252,7.8958,,S,349252,,Vovk,0
97,0,3,"Johansson, Mr. Erik",male,22,0,0,350052,7.7958,,S,350052,,Johansson,0
263,0,3,"Karlsson, Mr. Nils August",male,22,0,0,350060,7.5208,,S,350060,,Karlsson,0
539,1,3,"Connolly, Miss. Kate",female,22,0,0,370373,7.75,,Q,370373,,Connolly,0
306,0,3,"Maenpaa, Mr. Matti Alexanteri",male,22,0,0,STON/O 2. 3101275,7.125,,S,3101275,,Maenpaa,0
200,0,3,"Cann, Mr. Ernest Charles",male,21,0,0,A./5. 2152,8.05,,S,2152,,Cann,0
100,0,3,"Jussila, Miss. Mari Aina",female,21,1,0,4137,9.825,,S,4137,,Jussila,1
349,0,3,"Ford, Miss. Doolina Margaret ""Daisy""",female,21,2,2,W./C. 6608,34.375,,S,6608,,Ford,4
403,0,3,"Kalvik, Mr. Johannes Halvorsen",male,21,0,0,8475,8.4333,,S,8475,,Kalvik,0
146,0,3,"Charters, Mr. David",male,21,0,0,A/5. 13032,7.7333,,Q,13032,,Charters,0
548,1,1,"Longley, Miss. Gretchen Fiske",female,21,0,0,13502,77.9583,D9,S,13502,,Longley,0
124,0,2,"Hood, Mr. Ambrose Jr",male,21,0,0,S.O.C. 14879,73.5,,S,14879,,Hood,0
330,0,2,"Hickman, Mr. Stanley George",male,21,2,0,S.O.C. 14879,73.5,,S,14879,,Hickman,2
191,0,2,"Giles, Mr. Frederick Edward",male,21,1,0,28134,11.5,,S,28134,,Giles,1
251,0,1,"White, Mr. Richard Frasar",male,21,0,1,35281,77.2875,D26,S,35281,,White,1
320,0,3,"Nosworthy, Mr. Richard Cater",male,21,0,0,A/4. 39886,7.8,,S,39886,,Nosworthy,0
135,0,3,"Stanley, Mr. Edward Roland",male,21,0,0,A/4 45380,8.05,,S,45380,,Stanley,0
45,0,3,"Bowen, Mr. David John ""Dai""",male,21,0,0,54636,16.1,,S,54636,,Bowen,0
324,0,3,"Birkeland, Mr. Hans Martin Monsen",male,21,0,0,312992,7.775,,S,312992,,Birkeland,0
192,0,3,"Pasic, Mr. Jakob",male,21,0,0,315097,8.6625,,S,315097,,Pasic,0
593,1,3,"Jansson, Mr. Carl Olof",male,21,0,0,350034,7.7958,,S,350034,,Jansson,0
131,0,3,"Canavan, Miss. Mary",female,21,0,0,364846,7.75,,Q,364846,,Canavan,0
285,0,3,"Sivola, Mr. Antti Wilhelm",male,21,0,0,STON/O 2. 3101280,7.925,,S,3101280,,Sivola,0
421,0,3,"Pekoniemi, Mr. Edvard",male,21,0,0,STON/O 2. 3101294,7.925,,S,3101294,,Pekoniemi,0
326,0,3,"Windelov, Mr. Einar",male,21,0,0,SOTON/OQ 3101317,7.25,,S,3101317,,Windelov,0
29,0,3,"Lovell, Mr. John Hall (""Henry"")",male,20.5,0,0,A/5 21173,7.25,,S,21173,,Lovell,0
360,0,3,"Saundercock, Mr. William Henry",male,20,0,0,A/5. 2151,8.05,,S,2151,,Saundercock,0
605,1,3,"Nakid, Mr. Sahid",male,20,1,1,2653,15.7417,,C,2653,,Nakid,2
647,1,3,"Barah, Mr. Hanna Assi",male,20,0,0,2663,7.2292,,C,2663,,Barah,0
115,0,3,"Jussila, Miss. Katriina",female,20,1,0,4136,9.825,,S,4136,,Jussila,1
380,0,3,"Olsvigen, Mr. Thor Anderson",male,20,0,0,6563,9.225,,S,6563,,Olsvigen,0
41,0,3,"Gustafsson, Mr. Alfred Ossian",male,20,0,0,7534,9.8458,,S,7534,,Gustafsson,0
323,0,3,"Oreskovic, Mr. Luka",male,20,0,0,315094,8.6625,,S,315094,,Oreskovic,0
53,0,3,"Oreskovic, Miss. Marija",female,20,0,0,315096,8.6625,,S,315096,,Oreskovic,0
8,0,3,"Hampe, Mr. Leon",male,20,0,N,345769,9.5,,S,345769,,Hampe,0
188,0,3,"Andreasson, Mr. Paul Edvin",male,20,0,0,347466,7.8542,,S,347466,,Andreasson,0
44,0,3,"Jensen, Mr. Hans Peder",male,20,0,0,350050,7.8542,,S,350050,,Jensen,0
279,0,3,"Coelho, Mr. Domingos Fernandeo",male,20,0,0,SOTON/O.Q. 3101307,7.05,,S,3101307,,Coelho,0
689,1,2,"Beane, Mrs. Edward (Ethel Clarke)",female,19,1,0,2908,26,,S,2908,,Beane,1
439,0,3,"Crease, Mr. Ernest James",male,19,0,0,S.P. 3464,8.1583,,S,3464,,Crease,0
630,1,3,"Dorking, Mr. Edward Arthur",male,19,0,0,A/5. 10482,8.05,,S,10482,,Dorking,0
612,1,1,"Newsom, Miss. Helen Monypeny",female,19,0,2,11752,26.2833,D47,S,11752,,Newsom,2
633,1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19,1,0,11967,91.0792,B49,C,11967,,Bishop,1
155,0,1,"Fortune, Mr. Charles Alexander",male,19,3,2,19950,263,C23 C25 C27,S,19950,,Fortune,5
429,0,2,"Carbines, Mr. William",male,19,0,0,28424,13,,S,28424,,Carbines,0
137,0,2,"Pengelly, Mr. Frederick William",male,19,0,0,28665,10.5,,S,28665,,Pengelly,0
112,0,2,"Nicholls, Mr. Joseph Charles",male,19,1,1,C.A. 33112,36.75,,S,33112,,Nicholls,2
336,0,1,"Marvin, Mr. Daniel Warner",male,19,1,0,113773,53.1,D30,S,113773,,Marvin,1
233,0,3,"Beavan, Mr. William Thomas",male,19,0,0,323951,8.05,,S,323951,,Beavan,0
199,0,3,"Gustafsson, Mr. Karl Gideon",male,19,0,0,347069,7.775,,S,347069,,Gustafsson,0
217,0,3,"Stoytcheff, Mr. Ilia",male,19,0,0,349205,7.8958,,S,349205,,Stoytcheff,0
294,0,3,"Dakic, Mr. Branko",male,19,0,0,349228,10.1708,,S,349228,,Dakic,0
280,0,3,"Cor, Mr. Liudevit",male,19,0,0,349231,7.8958,,S,349231,,Cor,0
505,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19,1,0,350046,7.8542,,S,350046,,Andersen-Jensen,1
395,0,3,"Burke, Mr. Jeremiah",male,19,0,0,365222,6.75,,Q,365222,,Burke,0
261,0,3,"Johnson, Mr. William Cahoone Jr",male,19,0,0,LINE,0,,S,LINE,,Johnson,0
62,0,3,"Allum, Mr. Owen George",male,18,0,0,2223,8.3,,S,2223,,Allum,0
520,1,3,"Turja, Miss. Anna Sofia",female,18,0,0,4138,9.8417,,S,4138,,Turja,0
422,0,2,"Davies, Mr. Charles Henry",male,18,0,0,S.O.C. 14879,73.5,,S,14879,,Davies,0
589,1,1,"Ryerson, Miss. Emily Borie",female,18,2,2,PC 17608,262.375,B57 B59 B63 B66,C,17608,,Ryerson,4
472,1,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,18,1,0,PC 17757,227.525,C62 C64,C,17757,,Astor,1
236,0,1,"Penasco y Castellana, Mr. Victor de Satode",male,18,1,0,PC 17758,108.9,C65,C,17758,,Penasco y Castellana,1
496,1,1,"Taussig, Miss. Ruth",female,18,0,2,110413,79.65,E68,S,110413,,Taussig,2
128,0,2,"Fahlstrom, Mr. Arne Jonas",male,18,0,0,236171,13,,S,236171,,Fahlstrom,0
579,1,2,"Silven, Miss. Lyyli Karoliina",female,18,0,2,250652,13,,S,250652,,Silven,2
232,0,3,"Vander Planke, Miss. Augusta Maria",female,18,2,0,345764,18,,S,345764,,Vander Planke,2
20,0,3,"Edvardsson, Mr. Gustaf Hjalmar",male,18,0,0,349912,7.775,,S,349912,,Edvardsson,0
81,0,3,"Klasen, Mr. Klas Albin",male,18,1,1,350404,7.8542,,S,350404,,Klasen,2
216,0,3,"Hegarty, Miss. Hanora ""Nora""",female,18,0,0,365226,6.75,,Q,365226,,Hegarty,0
254,0,3,"Rosblom, Mr. Viktor Richard",male,18,1,1,370129,20.2125,,S,370129,,Rosblom,2
560,1,3,"Aks, Mrs. Sam (Leah Rosen)",female,18,0,1,392091,9.35,,S,392091,,Aks,1
562,1,3,"Sjoblom, Miss. Anna Sofia",female,18,0,0,3101265,7.4958,,S,3101265,,Sjoblom,0
241,0,3,"Wiklund, Mr. Jakob Alfred",male,18,1,0,3101267,6.4958,,S,3101267,,Wiklund,1
545,1,2,"Lehmann, Miss. Bertha",female,17,0,0,SC 1748,12,,C,1748,,Lehmann,0
122,0,3,"Attalah, Miss. Malake",female,17,0,0,2627,14.4583,,C,2627,,Attalah,0
426,0,3,"Elias, Mr. Joseph Jr",male,17,1,1,2690,7.2292,,C,2690,,Elias,2
443,1,2,"Ilett, Miss. Bertha",female,17,0,0,SO/C 14885,10.5,,S,14885,,Ilett,0
483,1,1,"Thayer, Mr. John Borland Jr",male,17,0,2,17421,110.8833,C70,C,17421,,Thayer,2
627,1,1,"Dick, Mrs. Albert Adrian (Vera Gillespie)",female,17,1,0,17474,57,B20,S,17474,,Dick,1
653,1,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17,1,0,PC 17758,108.9,C65,C,17758,,Penasco y Castellana,1
357,0,3,"Calic, Mr. Petar",male,17,0,0,315086,8.6625,,S,315086,,Calic,0
274,0,3,"Culumovic, Mr. Jeso",male,17,0,0,315090,8.6625,,S,315090,,Culumovic,0
424,0,3,"Calic, Mr. Jovo",male,17,0,0,315093,8.6625,,S,315093,,Calic,0
292,0,3,"Kallio, Mr. Nikolai Erland",male,17,0,0,STON/O 2. 3101274,7.125,,S,3101274,,Kallio,0
513,1,3,"Andersson, Miss. Erna Alexandra",female,17,4,2,3101281,7.925,,S,3101281,,Andersson,6
7,0,2,"Mudd, Mr. Thomas Charles",male,16,0,N,S.O./P.P. 3,10.5,,S,3,S.O./P.P.,Mudd,0
391,0,3,"Goodwin, Miss. Lillian Amy",female,16,5,2,CA 2144,46.9,,S,2144,,Goodwin,7
49,0,3,"Abbott, Mr. Rossmore Edward",male,16,1,1,C.A. 2673,20.25,,S,2673,,Abbott,2
419,0,3,"Ford, Mr. William Neal",male,16,1,3,W./C. 6608,34.375,,S,6608,,Ford,4
417,0,3,"Osen, Mr. Olaf Elon",male,16,0,0,7534,9.2167,,S,7534,,Osen,0
